sepal length,sepal width,petal length,petal width,class,,norm,,sepal length,sepal width,petal length,petal width,class
5.1,3.5,1.4,0.2,Iris-setosa,,6.345076832,,0.803772773,0.551608766,0.220643506,0.031520501,Iris-setosa
4.9,3,1.4,0.2,Iris-setosa,,5.916924877,,0.828132873,0.507020127,0.236609392,0.033801342,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa,,5.836094585,,0.805333075,0.548311881,0.222751702,0.034269493,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa,,5.749782605,,0.800030247,0.539150819,0.260879429,0.034783924,Iris-setosa
5,3.6,1.4,0.2,Iris-setosa,,6.321392252,,0.790964996,0.569494797,0.221470199,0.0316386,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa,,6.88621812,,0.784174986,0.566348601,0.246869903,0.058087036,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa,,5.896609195,,0.780109356,0.576602567,0.237424587,0.050876697,Iris-setosa
5,3.4,1.5,0.2,Iris-setosa,,6.232976817,,0.802184919,0.545485745,0.240655476,0.032087397,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa,,5.456189146,,0.806423656,0.531506501,0.256589345,0.036655621,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,,5.989991653,,0.81803119,0.517529937,0.250417711,0.016694514,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa,,6.718630813,,0.803735188,0.550707444,0.223259774,0.02976797,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa,,6.099180273,,0.786991003,0.55745196,0.262330334,0.032791292,Iris-setosa
4.8,3,1.4,0.1,Iris-setosa,,5.831809325,,0.823072178,0.514420111,0.240062718,0.017147337,Iris-setosa
4.3,3,1.1,0.1,Iris-setosa,,5.35817133,,0.802512599,0.559892511,0.205293921,0.018663084,Iris-setosa
5.8,4,1.2,0.2,Iris-setosa,,7.149825173,,0.811208646,0.559454239,0.167836272,0.027972712,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa,,7.366138744,,0.77381111,0.597327875,0.203634503,0.054302534,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa,,6.798529253,,0.794289441,0.573653485,0.191217828,0.058836255,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa,,6.349015672,,0.803274124,0.551266555,0.220506622,0.047251419,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa,,7.064700984,,0.806828203,0.537885469,0.240632973,0.042464642,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa,,6.541406577,,0.779648832,0.580914816,0.22930848,0.045861696,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa,,6.606814664,,0.817337897,0.514620157,0.257310079,0.030271774,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa,,6.489221833,,0.785918579,0.570176224,0.231152523,0.061640673,Iris-setosa
4.6,3.6,1,0.2,Iris-setosa,,5.929586832,,0.775770746,0.607124932,0.168645814,0.033729163,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa,,6.327716808,,0.805977915,0.521515122,0.268659305,0.079017443,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa,,6.184658438,,0.776114,0.549747417,0.307211792,0.032338083,Iris-setosa
5,3,1.6,0.2,Iris-setosa,,6.049793385,,0.826474506,0.495884704,0.264471842,0.03305898,Iris-setosa
5,3.4,1.6,0.4,Iris-setosa,,6.267375846,,0.797782058,0.542491799,0.255290259,0.063822565,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa,,6.448255578,,0.806419649,0.542782456,0.232621053,0.03101614,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa,,6.371812929,,0.816094267,0.533600097,0.219717687,0.031388241,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa,,5.910160742,,0.795240638,0.541440434,0.270720217,0.033840027,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa,,5.937171044,,0.808465844,0.522134191,0.269488615,0.033686077,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa,,6.567343451,,0.822250281,0.51771314,0.228402856,0.060907428,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa,,6.790434449,,0.765783108,0.603790528,0.220898974,0.014726598,Iris-setosa
